ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Value
293257,University,UMass Amherst,I don't use Tinder,3,25.00%,Yes,25
293259,University,University of Arizona,Yes,4,36.40%,No,36.4
293261,University,University of Arizona,No,4,36.40%,No,36.4
293263,University,University of Arizona,I don't use Tinder,3,27.30%,No,27.3
293265,University,Texas Christian University,Yes,8,30.80%,Yes,30.8
293267,University,Texas Christian University,No,8,30.80%,No,30.8
293269,University,Texas Christian University,I don't use Tinder,10,38.50%,No,38.5
293271,University,Emory University,Yes,1,20.00%,No,20
293273,University,Emory University,No,3,60.00%,Yes,60
293275,University,Emory University,I don't use Tinder,1,20.00%,No,20
293277,University,Columbia University,Yes,2,33.30%,Yes,33.3
293279,University,Columbia University,No,3,50.00%,No,50
293281,University,Columbia University,I don't use Tinder,1,16.70%,No,16.7
293283,University,Purdue University,Yes,5,19.20%,No,19.2
293285,University,Purdue University,No,13,50.00%,Yes,50
293287,University,Purdue University,I don't use Tinder,8,30.80%,No,30.8
293289,University,Tufts University,Yes,3,42.90%,No,42.9
293291,University,Tufts University,No,2,28.60%,No,28.6
293293,University,Tufts University,I don't use Tinder,2,28.60%,Yes,28.6
293295,University,University of Richmond,Yes,2,11.10%,No,11.1
293297,University,University of Richmond,No,9,50.00%,No,50
293299,University,University of Richmond,I don't use Tinder,7,38.90%,No,38.9
293301,University,Quinnipiac University,Yes,0,0.00%,Yes,0
293303,University,Quinnipiac University,No,2,100.00%,No,100
293305,University,Quinnipiac University,I don't use Tinder,0,0.00%,Yes,0
293307,University,United States Naval Academy,Yes,0,0.00%,No,0
293309,University,United States Naval Academy,No,3,42.90%,No,42.9
293311,University,United States Naval Academy,I don't use Tinder,4,57.10%,No,57.1
293313,University,"University of California, Santa Cruz",Yes,2,66.70%,Yes,66.7
293315,University,"University of California, Santa Cruz",No,1,33.30%,No,33.3
293317,University,"University of California, Santa Cruz",I don't use Tinder,0,0.00%,No,0
293319,University,Rice University ,Yes,1,16.70%,No,16.7
293321,University,Rice University ,No,4,66.70%,Yes,66.7
293323,University,Rice University ,I don't use Tinder,1,16.70%,No,16.7
293325,University,Mississippi State University,Yes,4,36.40%,No,36.4
293327,University,Mississippi State University,No,6,54.50%,No,54.5
293329,University,Mississippi State University,I don't use Tinder,1,9.10%,Yes,9.1
293331,University,University of Missouri,Yes,7,23.30%,No,23.3
293333,University,University of Missouri,No,15,50.00%,Yes,50
293335,University,University of Missouri,I don't use Tinder,8,26.70%,No,26.7
293337,University,University of Georgia,Yes,1,9.10%,No,9.1
293339,University,University of Georgia,No,9,81.80%,No,81.8
293341,University,University of Georgia,I don't use Tinder,1,9.10%,Yes,9.1
293343,University,Louisiana State University,Yes,2,25.00%,No,25
293345,University,Louisiana State University,No,4,50.00%,No,50
293347,University,Louisiana State University,I don't use Tinder,2,25.00%,No,25
293349,University,Lehigh University,Yes,0,0.00%,Yes,0
293351,University,Lehigh University,No,2,66.70%,No,66.7
293353,University,Lehigh University,I don't use Tinder,1,33.30%,No,33.3
293355,University,Northern Arizona University,Yes,1,100.00%,No,100
293357,University,Northern Arizona University,No,0,0.00%,Yes,0
293359,University,Northern Arizona University,I don't use Tinder,0,0.00%,No,0
293361,University,Elon University,Yes,0,0.00%,Yes,0
293363,University,Elon University,No,4,66.70%,No,66.7
293365,University,Elon University,I don't use Tinder,2,33.30%,No,33.3
293367,University,Vassar College,Yes,1,50.00%,No,50
293369,University,Vassar College,No,1,50.00%,Yes,50
293371,University,Vassar College,I don't use Tinder,0,0.00%,No,0
293373,University,University of Pittsburgh,Yes,0,0.00%,No,0
293375,University,University of Pittsburgh,No,0,0.00%,No,0
293377,University,University of Pittsburgh,I don't use Tinder,2,100.00%,Yes,100
293379,University,University of Chicago,Yes,2,40.00%,No,40
293381,University,University of Chicago,No,1,20.00%,No,20
293383,University,University of Chicago,I don't use Tinder,2,40.00%,No,40
293385,University,University of Buffalo,Yes,0,0.00%,Yes,0
293387,University,University of Buffalo,No,0,0.00%,No,0
293389,University,University of Buffalo,I don't use Tinder,1,100.00%,Yes,100
293391,University,University of Minnesota,Yes,2,50.00%,No,50
293393,University,University of Minnesota,No,1,25.00%,No,25
293395,University,University of Minnesota,I don't use Tinder,1,25.00%,No,25
293397,University,Colorado State University,Yes,0,0.00%,Yes,0
293399,University,Colorado State University,No,3,100.00%,No,100
293401,University,Colorado State University,I don't use Tinder,0,0.00%,No,0
293403,University,Skidmore College,Yes,0,0.00%,No,0
293405,University,Skidmore College,No,1,100.00%,Yes,100
293407,University,Skidmore College,I don't use Tinder,0,0.00%,No,0
293409,University,Rochester Institute of Technology,Yes,0,0.00%,No,0
293411,University,Rochester Institute of Technology,No,2,100.00%,No,100
293413,University,Rochester Institute of Technology,I don't use Tinder,0,0.00%,Yes,0
293415,University,Arizona State University,Yes,0,0.00%,No,0
293417,University,Arizona State University,No,1,50.00%,Yes,50
293419,University,Arizona State University,I don't use Tinder,1,50.00%,No,50
293421,University,University of Rochester,Yes,1,33.30%,No,33.3
293423,University,University of Rochester,No,2,66.70%,No,66.7
293425,University,University of Rochester,I don't use Tinder,0,0.00%,Yes,0
293427,University,University of St Andrews,Yes,0,0.00%,No,0
293429,University,University of St Andrews,No,2,66.70%,No,66.7
293431,University,University of St Andrews,I don't use Tinder,1,33.30%,No,33.3
293433,University,Florida State University,Yes,0,0.00%,Yes,0
293435,University,Florida State University,No,0,0.00%,No,0
293437,University,Florida State University,I don't use Tinder,1,100.00%,No,100
293439,University,Ithaca College,Yes,1,25.00%,No,25
293441,University,Ithaca College,No,2,50.00%,Yes,50
293443,University,Ithaca College,I don't use Tinder,1,25.00%,No,25
